Employee code ,Team,Assigned Hours,Capacity,Utilization %,Capacity Excess
E1,CS,36.26243603,40,90.65609008,0
E10,CS,36.26243603,40,90.65609008,0
E11,IT,36.53443538,40,91.33608844,0
E12,CS,758.7101023,40,1896.775256,718.7101023
E13,CS,22.81634302,40,57.04085754,0
E14,IT,38.25310873,40,95.63277183,0
E15,IT,44.67399754,40,111.6849938,4.673997537
E16,IT,39.48485287,40,98.71213219,0
E17,CS,27.57140216,40,68.92850539,0
E18,SEC,0,40,0,0
E19,DATA,0,40,0,0
E2,BCFIN,0,40,0,0
E20,DATA,0,40,0,0
E21,DATA,11.48053079,40,28.70132697,0
E22,CS,36.90209446,40,92.25523614,0
E23,DATA,24.64830014,40,61.62075034,0
E24,CS,36.1366887,40,90.34172174,0
E25,BCFIN,14.69263438,40,36.73158595,0
E26,CS,36.46627908,40,91.16569769,0
E27,IT,40.84248211,40,102.1062053,0.842482112
E28,CS,38.892905,40,97.23226251,0
E29,IT,49.08784067,40,122.7196017,9.087840669
E3,CS,28.81531289,40,72.03828222,0
E30,SEC,0,40,0,0
E31,CS,30.49290007,40,76.23225017,0
E32,CS,0,40,0,0
E33,BCFIN,0,40,0,0
E34,DATA,0,40,0,0
E35,CS,36.49943408,40,91.24858519,0
E36,IT,39.72142951,40,99.30357377,0
E37,IT,39.11104605,40,97.77761513,0
E38,CS,94.45041097,40,236.1260274,54.45041097
E39,CS,20.20391891,40,50.50979726,0
E4,CS,6.712421088,40,16.78105272,0
E40,CS,28.63287126,40,71.58217814,0
E5,CRM,0,40,0,0
E6,BCFIN,0,40,0,0
E7,DW,217.7517632,40,544.379408,177.7517632
E8,CS,30.22256404,40,75.5564101,0
E9,BCFIN,0,40,0,0
