ticket,priority,ticket_team,Employee code,employee_team,predicted_hours,sla_hours,sla_met,employee_capacity,fallback_applied
T8619,P3,IT,E11,IT,2.131709825,24,TRUE,40,FALSE
T2488,P3,BCFIN,E25,BCFIN,1.601746736,24,TRUE,40,FALSE
T6712,P3,CS,E38,CS,0.861940597,24,TRUE,40,FALSE
T3804,P3,IT,E29,IT,8.816449359,24,TRUE,40,FALSE
T7594,P3,CS,E38,CS,0.861940597,24,TRUE,40,FALSE
T746,P3,CS,E38,CS,0.861940597,24,TRUE,40,FALSE
T5392,P3,CS,E38,CS,0.861940597,24,TRUE,40,FALSE
T5187,P3,CS,E38,CS,0.861940597,24,TRUE,40,FALSE
T3075,P3,CS,E38,CS,0.861940597,24,TRUE,40,FALSE
T3560,P3,CS,E38,CS,1.263805814,24,TRUE,40,FALSE
T3002,P3,IT,E16,IT,20.21787632,24,TRUE,40,FALSE
T5721,P3,IT,E29,IT,8.816449359,24,TRUE,40,FALSE
